Pergunta;Opo 1;Opo 2;Opo 3;Opo 4;Resposta Correta
Qual das palavras abaixo não é um modal verb?;Could;Can;There;Shall;3
Marque a alternativa que contém o inglês britânico;You are running so fast.;I’m going there.;Let’s rock’n’ll baby.;So he’s startin’ rockin’;1
"Qual a diferença de ""What"" e ""Why""?";‘Why’ é “O que’ e ‘What’ é “Por que”.;‘Why’ é ‘Porque’ e ‘What’ é “O que”.;‘Why’ é Por que’ e ‘What’ é “O que”.;‘Why’ e ‘What’ tem o mesmo significado que é “O que”.;3
Como é “Água no chão” em inglês?;Water in the floor.;Water on the floor.;Water at floor.;Water inside the floor.;2
A tradução do termo “ad” significa:;Adicionar.;Ad-sense.;Propaganda.;Advogado.;3
Qual é a maneira certa de escrever “café”?;Coffe;Cofee;Coffee;Cooffe;3
Qual país abaixo NÃO fala inglês americano? ;Estados Unidos.;Canadá.;Bahamas. ;Reino Unido.;4
Se você está vendo um vídeo no Youtube  como você fala “Esse vídeo”?;This video.;That video.;There is a video.;Theres video.;1
Qual a diferença entre How much e How many?;How much é para coisas incontáveis, já o How many não.;How much é para coisas contáveis, já o How many não.;How much e How many é a mesma coisa.;“How many people” está certo pois as pessoas são contáveis.;1
"A expressão Piece of cake"" se refere a algo…""";Muito fácil.;Muito saboroso.;Muito belo.;Muito doce.;2
Complete a frase. Petter is much taller ___ his brother.;Then.;Than.;Thin.;That.;2
Para se referir a “você quem sabe” em inglês  usamos:;It is high time.;It is up to you.;As good as it gets.;You know.;2
Qual a tradução da palavra thought?;Através.;Pensei.;Difícil.;Diante.;2
Brazil has been an independent country __ 1822.;Than.;Since.;For.;During.;2
The future depends ___ what you do today.;On.;Of.;This.;In.;2
Cats like to hunt…;Lions.;Alligators.;Ants.;Birds.;4
She’s married and she has three……;childs.;childrens.;child.;children;2
São 8:30 da manhã. ;It’s eight and thirteen a.m.;It’s eight and half a.m.;It’s eight o’clock.;It’s eight and forty five.;2
“Caneta azul” é…;Pen blue.;Blue pen.;Pan blue.;Blue pan.;2
Norte  sul leste e oeste. ;North, South, West, East.;North, South, East, West.;North, East, South, West.;North, West, East, South.;2
