Pergunta;Opo 1;Opo 2;Opo 3;Opo 4;Resposta Correta
Marque a alternativa correta de acordo com o uso dos PORQUÊS;"Como dito por René Descartes: ""Eu penso, logo existo.""";"como dito por rené descartes: ""Eu penso, logo existo.""";"Como dito René Descartes: ""Eu penso, logo existo.""";"Como dito por René Descartes: ""Eu penso, logo existo.""";1
Marque a alternativa que apresenta exemplos de TIPOS TEXTUAIS:;Narrativo, descritivo e argumentação.;Narrativo, palestra e argumentação.;Romance, biografia e piada.;Injuntivo, expositivo e crônica.;1
Marque a alternativa que apresenta exemplos de GÊNEROS TEXTUAIS:;Descritivo, artigo de opinião e sinopse.;Editorial jornalístico, seminários e reportagem.;Novela, injuntivo e resumo.;Narrativo, expositivo e injuntivo.;2
"O verbo ""aferir"" está relacionado a:";machucar;localizar;manchar;medir;4
"Qual o tipo de sujeito classificado na frase ""Ela é muito chata""?";Oculto;Composto;Simples;Derivado;3
"Qual o predicativo do sujeito na frase ""O café é forte""?";Forte;É;Café;Café forte;1
"Qual é o tipo de sujeito classificado na frase ""quebrei a perna""?";Inexistente;Derivado;Oculto;Simples;3
O que significa a palavra tráfego?;viagem;comércio ilícito;trânsito;som;3
Muitos alunos sentem dificuldade em saber o uso de ASSENTO ou ACENTO. Diferencie elas  respectivamente:;sinal gráfico e móvel;para sentar e sinal gráfico;casamento e sinal gráfico;para sentar e móvel;2
Qual a diferença entre INFLAÇÃO e INFRAÇÃO?;aumentar e intencionar;desvalorização da moeda e violação;aumentar e amar;violação e desvalorização;2
Qual das palavras possui a escrita incorreta?;Auto-ajuda;Ultrassom;Leem;Alcatéia;2
Nas palavras abaixo  qual está correta?;Conseqüência;Assembleia;Idéia;Vôo;2
Assinale a palavra incorreta.;Herói;Polo;Chapéu;Lingüiça;4
Indique a alternativa em que a palavra esteja de acordo com as novas regras.;Jibóia;Heroi;joia;Aneis;3
Assinale a alternativa correta.;Eles vêem;Eles vem;Eles tem;Eles têm;1
Assinale a palavra composta que está correta;Cão-de-guarda;Cor-de-vinho;Para-quedas;Grã-Bretanha;4
Uma das frases abaixo possui um erro  indique-a.;Para de fazer isso, Maria.;Devo por bolo em cima da mesa.;Ele não vira hoje porque está com enjoo.;Não me consigo pôr de pé.;2
De acordo com a mudança ortográfica  qual acento está extinto?;Trema;Acento circunflexo.;Crase;Acento agudo;1
"A frase ""rapaz  como você é pragmático""  quer dizer que o rapaz é...";Impulsivo, sem paciência.;Enrolado, cheio das teorias.;Prático, que só se baseia em fatos.;À moda antiga.;3
