Pergunta;Opo 1;Opo 2;Opo 3;Opo 4;Resposta Correta
Podemos dizer que uma célula é eucarionte porque:;Possui ribossomos;Está presente nas bactérias;Possui a envoltura nuclear;Não possui a envoltura nuclear;3
O evolucionista Charles Darwin defendia a ideia de que:;Os indivíduos mais adaptados irão sobreviver;As características Desenvolvidas por um ser vivo no decorrer de sua existência serão passadas para seus descendentes ;Os seres vivos são imutáveis;O homem evoluiu do macaco;1
O tubarão e os seres humanos pertencem a mesma categoria taxonômica. Que categoria é essa?;Reino;Espécie;Família;Filo;1
Sobre a biogênese podemos afirmar que:;Seres vivos surgem da matéria bruta;Needham era um dos defensores dessa teoria;Os seres vivos surgem de outros seres vivos;É conhecida como geração espontânea;3
Sobre as relações ecológicas o parasitismo é:;A relação entre duas espécies em que uma prejudica a outra ;Quando uma espécie mata a outra para se alimentar;Uma espécie que vive à custa da outra podendo prejudicá-la sem matá-la;A beneficiação entre duas Espécies e uma não depende da outra para sobreviver;3
Sobre a malária é correto afirmar:;É causada por um protozoário (Plasmodium);É transmitida pelo Aedes Aegypti;É causada por uma bactéria;É causada por um vírus ;1
O que é um gene?;É a materialização do genótipo;Conjunto de bases nitrogenadas que definem determinada característica de um indivíduo;Trecho que codifica uma proteína ;É um fragmento do DNA que define a síntese de uma proteína;4
Qual organela é responsável pela digestão e limpeza celular?;Mitocôndria;Lisossomos;Complexo de Golgi;Ribossomos;2
Podemos dizer que os seres primitivos eram formados por células:;Complexa;Procarionte;Eucarionte;Eram pluricelulares;2
A qual reino as plantas pertencem?;Protista ;Monera;Metazoa;Metaphyta;4
